Time,rnti,SFN,elapsed,CFI,RBmeanllr,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id
1698072539974,1571,7573,0.75,2,1.66,0.0,52.0,15.0,1,7,-2,472,-2,4,4
1698072539977,1571,7576,0.64,2,1.53,0.0,52.0,15.0,1,11,-2,1032,-2,6,4
1698072539978,1571,7577,0.51,2,1.51,0.0,52.0,15.0,1,18,-2,3624,-2,10,4
1698072539980,1571,7579,0.46,2,1.38,0.0,52.0,15.0,1,19,-2,1160,-2,3,4
1698072539985,1571,7584,0.26,2,1.06,6.0,52.0,15.0,1,13,-2,1160,-2,3,4
1698072539986,65535,7585,0.43,2,1.39,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539986,1571,7585,0.43,2,1.16,6.0,52.0,15.0,1,1,-2,144,-2,3,4
1698072539995,1571,7594,0.56,2,1.73,6.0,52.0,15.0,1,13,-2,2344,-2,6,4
1698072540000,1571,7599,0.5,2,1.44,0.0,52.0,15.0,1,12,-2,376,-2,2,4
1698072540001,65535,7600,0.57,3,1.72,2.0,0.0,0.0,1,11,-2,376,-2,33,3
1698072540006,65535,7605,0.44,3,1.54,2.0,0.0,0.0,1,6,-2,176,-2,6,3
1698072540008,1571,7607,0.14,2,1.5,0.0,52.0,15.0,1,7,-2,3880,-2,32,4
1698072540009,1571,7608,0.65,3,1.32,0.0,52.0,15.0,1,16,-2,1800,-2,6,4
1698072540010,65534,7609,0.82,3,1.38,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072540017,1571,7616,0.45,2,1.22,6.0,52.0,15.0,1,14,-2,2600,-2,6,4
1698072540018,1571,7617,0.44,2,1.51,6.0,52.0,15.0,1,1,-2,144,-2,3,4
1698072540025,1571,7624,0.4,2,1.63,6.0,52.0,15.0,1,13,-2,2344,-2,6,4
1698072540026,65535,7625,0.49,3,1.44,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072540029,1571,7628,0.41,2,1.67,6.0,52.0,15.0,1,19,-2,30576,-2,50,4
1698072540030,1571,7629,0.47,2,1.67,6.0,52.0,15.0,1,20,-2,18336,-2,29,4
1698072540046,65535,7645,0.81,3,1.51,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072540052,1571,7651,0.89,3,1.25,0.0,52.0,15.0,1,16,-2,904,-2,3,4
1698072540066,65535,7665,0.97,3,1.44,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072540068,1571,7667,1.18,3,1.54,0.0,52.0,15.0,1,9,-2,2536,-2,16,4
1698072540069,1571,7668,1.11,3,1.49,0.0,52.0,15.0,1,8,-2,4584,-2,32,4
1698072540070,1571,7669,0.6,3,1.67,0.0,52.0,15.0,1,12,-2,4968,-2,25,4
1698072540071,1571,7670,0.54,2,1.56,0.0,52.0,15.0,1,15,-2,4264,-2,15,4
1698072540072,1571,7671,0.64,3,1.23,0.0,52.0,15.0,1,14,-2,4584,-2,18,4
1698072540073,1571,7672,0.72,3,1.52,0.0,52.0,15.0,1,10,-2,5352,-2,30,4
1698072540074,1571,7673,0.9,3,1.2,0.0,52.0,15.0,1,11,-2,4392,-2,25,4
1698072540075,1571,7674,0.72,3,1.46,0.0,52.0,15.0,1,17,-2,2984,-2,9,4
1698072540081,65535,7680,0.65,3,1.67,2.0,0.0,0.0,1,11,-2,376,-2,33,3
1698072540082,1571,7681,0.65,3,1.36,6.0,52.0,15.0,1,0,-2,56,-2,3,4
1698072540084,1571,7683,0.6,3,1.22,6.0,52.0,15.0,1,13,-2,1160,-2,3,4
1698072540085,1571,7684,0.16,3,1.72,6.0,52.0,15.0,1,14,-2,3880,-2,9,4
1698072540086,1571,7685,0.33,3,1.83,6.0,52.0,15.0,1,14,-2,3880,-2,9,4
1698072540086,65535,7685,0.33,3,1.42,2.0,0.0,0.0,1,6,-2,176,-2,6,3
1698072540087,1571,7686,0.54,2,1.8,6.0,52.0,15.0,1,9,-2,1736,-2,6,4
1698072540088,1571,7687,0.49,3,1.95,6.0,52.0,15.0,1,9,-2,840,-2,3,4
1698072540090,1571,7689,0.6,3,1.58,6.0,52.0,15.0,1,11,-2,2984,-2,9,4
1698072540091,1571,7690,0.31,3,1.78,0.0,52.0,15.0,1,9,-2,776,-2,5,4
1698072540091,65535,7690,0.31,3,1.68,2.0,0.0,0.0,1,18,-2,776,-2,50,3
1698072540092,1571,7691,0.31,3,1.32,6.0,52.0,15.0,1,9,-2,1736,-2,6,4
1698072540096,65535,7695,0.63,3,1.43,2.0,0.0,0.0,1,18,-2,776,-2,12,3
1698072540100,1571,7699,0.23,3,1.17,6.0,52.0,15.0,1,15,-2,8248,-2,18,4
1698072540101,65535,7700,0.32,3,1.36,2.0,0.0,0.0,1,4,-2,120,-2,12,3
1698072540101,1571,7700,0.32,3,1.73,6.0,52.0,15.0,1,14,-2,1288,-2,3,4
1698072540102,1571,7701,0.37,3,1.78,6.0,52.0,15.0,1,14,-2,3880,-2,9,4
1698072540102,1571,7701,0.37,3,1.69,0.0,52.0,15.0,1,15,-2,1128,-2,4,4
1698072540103,1571,7702,0.35,2,1.81,6.0,52.0,15.0,1,15,-2,4136,-2,9,4
1698072540104,1571,7703,0.45,3,1.26,6.0,52.0,15.0,1,14,-2,3880,-2,9,4
1698072540105,1571,7704,0.19,2,1.11,6.0,52.0,15.0,1,15,-2,2792,-2,6,4
1698072540106,65535,7705,0.14,3,1.4,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072540106,1571,7705,0.14,3,1.72,6.0,52.0,15.0,1,14,-2,3880,-2,9,4
1698072540107,1571,7706,0.39,2,1.79,6.0,52.0,15.0,1,15,-2,4136,-2,9,4
1698072540108,1571,7707,0.29,3,1.72,6.0,52.0,15.0,1,14,-2,3880,-2,9,4
1698072540109,1571,7708,0.24,3,1.76,6.0,52.0,15.0,1,14,-2,3880,-2,9,4
1698072540110,65534,7709,0.26,3,1.65,2.0,0.0,0.0,1,5,-2,144,-2,12,2
1698072540110,1571,7709,0.26,3,1.29,0.0,52.0,15.0,1,18,-2,1416,-2,4,4
1698072540111,1571,7710,0.8,2,1.8,6.0,52.0,15.0,1,22,-2,4264,-2,6,4
1698072540111,1571,7710,0.8,2,1.48,0.0,52.0,15.0,1,13,-2,1128,-2,5,4
1698072540112,1571,7711,0.4,3,1.91,6.0,52.0,15.0,1,21,-2,4008,-2,6,4
1698072540113,1571,7712,0.61,2,2.21,6.0,52.0,15.0,1,18,-2,5160,-2,9,4
1698072540115,1571,7714,0.73,3,1.85,6.0,52.0,15.0,1,30,-2,5160,-2,9,4
1698072540116,1571,7715,0.28,3,1.75,6.0,52.0,15.0,1,31,-2,5160,-2,6,4
1698072540117,1571,7716,0.64,3,1.78,6.0,52.0,15.0,1,31,-2,5160,-2,6,4
1698072540119,1571,7718,0.7,2,1.79,6.0,52.0,15.0,1,0,-2,56,-2,3,4
1698072540121,1571,7720,0.79,2,1.58,0.0,52.0,15.0,1,13,-2,440,-2,2,4
1698072540124,1571,7723,0.32,2,1.95,6.0,52.0,15.0,1,13,-2,2344,-2,6,4
1698072540125,1571,7724,0.52,2,1.01,0.0,52.0,15.0,1,18,-2,1064,-2,3,4
1698072540126,65535,7725,0.32,2,1.45,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072540127,1571,7726,0.62,2,1.28,6.0,52.0,15.0,1,13,-2,1160,-2,3,4
1698072540130,65534,7729,0.61,3,1.42,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072540130,1571,7729,0.61,3,1.16,0.0,52.0,15.0,1,17,-2,968,-2,3,4
1698072540133,1571,7732,0.5,2,1.58,0.0,52.0,15.0,1,19,-2,3112,-2,8,4
1698072540135,1571,7734,0.22,2,1.03,0.0,52.0,15.0,1,16,-2,904,-2,3,4
1698072540138,1571,7737,0.17,3,1.45,0.0,52.0,15.0,1,17,-2,968,-2,3,4
1698072540140,1571,7739,0.26,2,1.46,0.0,52.0,15.0,1,14,-2,1000,-2,4,4
