Time,rnti,SFN,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id
1666257034008,54519,6606,6.0,48.0,8.0,1,0,-2,88,-2,4,8
1666257034013,54519,6611,6.0,48.0,8.0,1,12,-2,1416,-2,4,8
1666257034018,31355,6616,0.0,29.0,3.0,1,26,-2,2408,-2,4,6
1666257034020,54519,6618,6.0,48.0,8.0,1,14,-2,20616,-2,48,8
1666257034021,54519,6619,6.0,48.0,8.0,1,13,-2,9528,-2,24,8
1666257034027,65535,6625,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034038,54519,6636,0.0,48.0,8.0,1,25,-2,2280,-2,4,8
1666257034042,65535,6640,2.0,0.0,0.0,1,4,-2,120,-2,3,3
1666257034046,54519,6644,0.0,48.0,8.0,1,30,-2,2280,-2,4,8
1666257034047,65535,6645,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034047,54519,6645,6.0,48.0,8.0,1,7,-2,4584,-2,20,8
1666257034051,65534,6649,2.0,0.0,0.0,1,4,-2,208,-2,9,2
1666257034054,54519,6652,0.0,48.0,8.0,1,31,-2,2280,-2,4,8
1666257034058,54519,6656,0.0,48.0,8.0,1,14,-2,1000,-2,4,8
1666257034065,54519,6663,0.0,48.0,8.0,1,13,-2,4136,-2,18,8
1666257034067,65535,6665,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034067,54519,6665,6.0,48.0,8.0,1,0,-2,88,-2,4,8
1666257034073,54519,6671,0.0,48.0,8.0,1,30,-2,4136,-2,18,8
1666257034081,54519,6679,0.0,48.0,8.0,1,31,-2,4136,-2,18,8
1666257034082,18863,6680,0.0,27.0,2.0,1,29,-2,0,-2,1,4
1666257034087,65535,6685,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034087,31355,6685,0.0,29.0,3.0,1,29,-2,0,-2,2,6
1666257034088,31355,6686,0.0,29.0,3.0,1,26,-2,2408,-2,4,6
1666257034092,19379,6690,0.0,25.0,4.0,1,29,-2,0,-2,2,5
1666257034098,54519,6696,0.0,48.0,8.0,1,25,-2,2280,-2,4,8
1666257034103,54519,6701,6.0,48.0,8.0,1,6,-2,1608,-2,8,8
1666257034106,54519,6704,0.0,48.0,8.0,1,30,-2,2280,-2,4,8
1666257034107,65535,6705,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034109,54519,6707,6.0,48.0,8.0,1,5,-2,1384,-2,8,8
1666257034110,54519,6708,0.0,48.0,8.0,1,23,-2,1480,-2,3,8
1666257034113,54519,6711,6.0,48.0,8.0,1,0,-2,88,-2,4,8
